,property_type,room_type,bed_type,minimum_nights,maximum_nights,cancellation_policy,last_scraped,calendar_last_scraped,accommodates,bedrooms,beds,number_of_reviews,bathrooms,price,extra_people,guests_included
4272,House,Entire home/apt,Real Bed,2,1125,strict_14_with_grace_period,2019-02-11 05:00:00,2019-02-11 05:00:00,8,4.0,4.0,0,3.0,392,50,4
4273,Apartment,Entire home/apt,Real Bed,3,1125,strict_14_with_grace_period,2019-03-11 04:00:00,2019-03-11 04:00:00,2,1.0,1.0,1,1.0,353,100,2
4274,Apartment,Entire home/apt,Real Bed,4,30,strict_14_with_grace_period,2019-02-11 05:00:00,2019-02-11 05:00:00,4,2.0,3.0,3,1.0,798,0,1
4275,Bed and breakfast,Private room,Real Bed,1,1125,flexible,2019-03-08 05:00:00,2019-03-08 05:00:00,2,1.0,1.0,0,2.0,25,0,1
4276,Apartment,Entire home/apt,Real Bed,3,1125,flexible,2019-03-11 04:00:00,2019-03-11 04:00:00,4,1.0,1.0,0,1.0,769,0,1
4277,Apartment,Entire home/apt,Real Bed,3,90,strict_14_with_grace_period,2019-03-11 04:00:00,2019-03-11 04:00:00,2,1.0,1.0,0,1.0,848,500,2
4278,Apartment,Private room,Real Bed,2,1125,strict_14_with_grace_period,2019-03-08 05:00:00,2019-03-08 05:00:00,3,1.0,3.0,0,2.0,60,0,1
4279,Apartment,Entire home/apt,Real Bed,1,1125,strict_14_with_grace_period,2019-03-08 05:00:00,2019-03-08 05:00:00,2,1.0,3.0,0,1.0,197,0,2
4280,Condominium,Entire home/apt,Real Bed,1,365,super_strict_60,2019-03-06 05:00:00,2019-03-06 05:00:00,4,1.0,3.0,0,1.0,287,17,2
4281,Apartment,Entire home/apt,Real Bed,32,1125,flexible,2019-03-08 05:00:00,2019-03-08 05:00:00,5,3.0,3.0,0,1.0,50,0,1
4282,Bed and breakfast,Private room,Real Bed,1,1125,moderate,2019-02-18 05:00:00,2019-02-18 05:00:00,4,4.0,2.0,0,1.0,627,60,2
4283,Apartment,Private room,Real Bed,2,1125,strict_14_with_grace_period,2019-03-08 05:00:00,2019-03-08 05:00:00,4,1.0,3.0,0,1.0,80,0,1
4284,Apartment,Private room,Real Bed,1,30,flexible,2019-03-11 04:00:00,2019-03-11 04:00:00,1,1.0,1.0,0,1.0,502,0,1
4285,Bed and breakfast,Entire home/apt,Real Bed,1,365,flexible,2019-02-18 05:00:00,2019-02-18 05:00:00,2,1.0,2.0,1,1.0,2378,506,1
4286,Apartment,Entire home/apt,Real Bed,4,30,strict_14_with_grace_period,2019-02-11 05:00:00,2019-02-11 05:00:00,4,1.0,1.0,55,1.0,209,90,2
4287,Apartment,Entire home/apt,Real Bed,3,1125,strict_14_with_grace_period,2019-02-16 05:00:00,2019-02-16 05:00:00,4,1.0,2.0,103,1.0,70,15,2
4288,Guest suite,Private room,Real Bed,2,1124,super_strict_60,2019-02-11 05:00:00,2019-02-11 05:00:00,2,1.0,1.0,15,1.0,168,22,2
4289,Apartment,Entire home/apt,Real Bed,1,1125,flexible,2019-02-18 05:00:00,2019-02-18 05:00:00,2,1.0,1.0,4,1.0,95,0,1
4290,Apartment,Entire home/apt,Real Bed,3,1125,strict_14_with_grace_period,2019-02-18 05:00:00,2019-02-18 05:00:00,2,1.0,1.0,47,1.0,295,149,2
4291,Apartment,Entire home/apt,Real Bed,4,1125,flexible,2019-03-11 04:00:00,2019-03-11 04:00:00,4,3.0,2.0,2,1.0,85,20,2
4292,Apartment,Entire home/apt,Real Bed,1,1125,flexible,2019-03-06 05:00:00,2019-03-06 05:00:00,2,1.0,1.0,1,1.0,350,0,1
4293,Apartment,Private room,Real Bed,1,1000,moderate,2019-02-16 05:00:00,2019-02-16 05:00:00,2,1.0,1.0,210,2.5,28,12,2
